Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);Parking
720000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;86;
685000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;4 pokoje;;87;
385000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;37;
547400;05/04/2020;Białołęka, Warszawa;Właściciel;Mieszkanie;3 pokoje;1 łazienka;67;Garaż
549000;03/04/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;58;
1400000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;148;
925000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;4 pokoje;;93;
2503632;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;5 pokoi;;146;
3199000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;6 lub więcej pokoi;;324;
791712;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;4 pokoje;;83;
1149000;22/04/2020;Wawer, Warszawa;Agencja;Mieszkanie;3 pokoje;;104;
690000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
505000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;4 pokoje;;67;
1990000;22/04/2020;Ursynów, Warszawa;Agencja;Dom;6 lub więcej pokoi;2 łazienki;294;
378900;11/02/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;32;Ulica
530000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;49;
399000;22/04/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;38;Ulica
1400000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;4 pokoje;;210;
599000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;75;
440000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;58;
470000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
645000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;33;
3900000;22/04/2020;Włochy, Warszawa;Właściciel;Dom;6 lub więcej pokoi;3 łazienki;600;Garaż
1330000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;4 pokoje;;76;
935000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;110;Garaż
565000;17/04/2020;Bielany, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;40;Ulica
495000;17/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;39;Ulica
625000;08/04/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;4 pokoje;1 łazienka;60;
1080000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;4 pokoje;;91;
646000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;5 pokoi;;85;
330000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;37;
700000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;5 pokoi;;86;
1249000;22/04/2020;Rembertów, Warszawa;Agencja;Dom;6 lub więcej pokoi;2 łazienki;278;
780000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;3 pokoje;;70;
999000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;;90;
1077600;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;72;
1924650;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;129;
1490000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;4 pokoje;;119;
762000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;4 pokoje;1 łazienka;84;
614500;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;54;
585000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;
575000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;65;
898000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;3 pokoje;;74;
675000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;45;
457000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;2 pokoje;;42;
550000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;51;
569999;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;52;
398775;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;;41;
130000;17/04/2020;Targówek, Warszawa;Właściciel;Mieszkanie;Kawalerka lub garsoniera;1 łazienka;16;Ulica
457000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;49;
1500000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;3 pokoje;;69;
450000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;39;
920000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;74;
862000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;2 pokoje;;63;
620000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;43;
550000;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;56;
420000;22/04/2020;Żoliborz, Warszawa;Agencja;Mieszkanie;2 pokoje;;34;
899000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;
464000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;59;
734314;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;;75;
399000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;32;
440000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;34;
539000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;48;Ulica
510000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;2 pokoje;;57;
990000;22/04/2020;Ochota, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;88;Garaż
539000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;39;
520000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;2 pokoje;;42;
570000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;;63;
345000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;37;
